task_key,title,description,frequency_days,category,priority,feature_requirements,start_offset_days,seasonal,seasonal_anchor_type,season_code,season_anchor_month,season_anchor_day,overlap_group,variant_rank,safety_critical,notes
check_hvac_filters,Check HVAC filters,"Replace or clean (especially if you have pets, allergies, or heavy usage)",30,HVAC,medium,has_hvac=true,0,false,,,,,air_filter,1,false,
test_smoke_detectors,Test smoke detectors & carbon monoxide detectors,Press the test button; replace batteries if needed.,30,Safety,high,has_smoke_dectectors=true,0,false,,,,,smoke_safety,1,true,
check_fire_extinguisher,Check fire extinguisher(s),Make sure gauges show full charge and nothing is expired.,30,Safety,medium,,0,false,,,,,,,true,
add_vinegar_hvac,Add vinegar to HVAC drain pump tank,Add 1/4 cup distilled white vinegar to prevent mold and bacteria,30,HVAC,low,has_hvac=true,25,false,,,,,,,false,
check_plumbing_leaks,Check under sinks & around toilets,"Look for leaks, drips, or water stains",30,Plumbing,medium,,15,false,,,,,,,false,
run_water,Run water in infrequently used sinks/tubs,Prevents stagnant water and keeps traps from drying out.,30,Plumbing,low,,30,false,,,,,,,false,
inspect_water_softener,Inspect water softener (if applicable),Check salt levels and top off if low,30,Plumbing,medium,has_water_softener=true,0,false,,,,,,,false,
house_walk,Walk the house interior & exterior,"Look for cracks, peeling caulk, gaps around doors/windows, pest entry points.",30,General House Checks,medium,,10,false,,,,,,,false,
check_for_pests,Check for signs of pests,"Rodents, ants, termites, etc",30,General House Checks,medium,,0,false,,,,,,,false,
clean_disposal,Clean kitchen sink disposal,"Use ice cubes and citrus peel, or a disposal cleaner",30,Appliances,medium,has_disposal=true,0,false,,,,,,,false,
clean_range_filter,Clean range hood filter,"If washable; otherwise, replace every few months",30,Appliances,low,,0,false,,,,,,,false,
clean_bathroom_fans,Clean bathroom exhaust fan covers,Dust reduces efficiency and increases fire risk,30,General House Checks,medium,,10,false,,,,,,,false,
clean_baseboards_vents,"Vacuum/clean baseboards, vents, return air grilles",Keeps airflow efficient and reduces dust.,30,General House Checks,low,,20,false,,,,,,,false,
clean_washer_drain,Clean and drain washer filter,,30,Appliances,low,has_washer=true,0,false,,,,,,,false,
clean_cycle_washer,Run a cleaning cycle on washer,"vinegar, washing machine cleaner, or baking soda",30,Appliances,medium,has_washer=true,0,false,,,,,,,false,
clean_vacuum_filters,Empty vacuum canister & clean filters,Especially if you have pets,30,Appliances,low,,10,false,,,,,,,false,
check_gutters_drains,Check outdoor drains & gutters for blockages,"Check for leaves, debris",30,Exterior,medium,has_gutters=true,0,false,,,,,gutter_check,3,false,
